CUSTOMER_ID,TRANSACTION_ID,ITEM_ID,ITEM_VAL
5,199,1,500
33,235,1,500
20,249,3,749
35,36,4,757
19,201,4,757
17,94,5,763
39,146,5,763
42,162,5,763
49,41,6,824
3,70,6,824
24,161,6,824
48,216,6,824
11,31,7,830
43,55,7,830
18,78,7,830
19,138,7,830
37,57,8,913
37,218,8,913
37,12,9,1133
32,33,9,1133
12,134,9,1133
49,97,10,1407
48,108,10,1407
37,14,11,1543
7,110,12,1741
4,140,12,1741
25,187,12,1741
49,84,15,1963
23,3,16,2239
23,198,16,2239
2,29,17,2368
38,102,17,2368
12,226,17,2368
7,2,18,2431
19,246,19,2461
19,6,20,2478
21,195,20,2478
49,51,21,2741
9,67,22,2785
24,114,22,2785
50,131,22,2785
25,28,23,2948
19,197,23,2948
50,90,24,3017
28,27,25,3046
7,173,25,3046
16,190,25,3046
16,46,26,3343
22,106,26,3343
31,148,26,3343
3,230,26,3343
9,247,27,3602
43,166,28,3715
29,177,28,3715
27,203,28,3715
41,49,29,3854
12,128,29,3854
28,213,29,3854
12,236,29,3854
32,135,30,3897
31,151,30,3897
50,159,30,3897
48,205,30,3897
42,237,31,4013
48,16,32,4071
33,178,32,4071
28,122,33,4295
7,183,33,4295
34,45,35,4453
22,18,36,4479
1,232,36,4479
35,1,37,4514
50,34,37,4514
25,30,38,4640
31,165,38,4640
22,244,38,4640
2,245,38,4640
46,69,39,4712
25,74,39,4712
30,111,39,4712
1,98,40,4724
17,144,40,4724
44,211,40,4724
5,103,41,4756
27,184,41,4756
24,189,41,4756
39,42,42,4834
30,47,42,4834
49,66,43,4945
20,68,43,4945
26,115,43,4945
42,206,43,4945
1,60,44,4994
47,101,44,4994
45,117,44,4994
17,224,44,4994
40,228,44,4994
8,72,45,5170
19,113,45,5170
12,167,45,5170
9,26,46,5170
44,152,46,5170
5,112,47,5382
23,130,47,5382
20,93,48,5600
21,116,48,5600
1,129,48,5600
6,171,48,5600
36,89,49,5680
46,136,49,5680
8,38,50,5977
4,65,50,5977
6,202,50,5977
4,204,50,5977
20,147,51,6035
32,182,51,6035
13,217,51,6035
19,240,51,6035
8,4,53,6115
10,32,53,6115
6,150,53,6115
26,207,53,6115
8,100,55,6331
23,192,55,6331
40,215,55,6331
43,79,56,6496
2,107,56,6496
35,156,56,6496
8,208,56,6496
14,209,56,6496
44,53,57,6791
22,75,57,6791
43,87,57,6791
31,219,57,6791
20,242,57,6791
3,86,58,7059
43,234,59,7164
19,248,59,7164
44,35,60,7296
48,63,60,7296
48,77,60,7296
33,92,60,7296
30,118,60,7296
19,10,61,7492
37,83,61,7492
15,91,61,7492
47,127,61,7492
26,149,61,7492
22,185,61,7492
49,24,62,7527
27,123,62,7527
32,222,62,7527
10,124,63,7766
42,142,63,7766
8,194,63,7766
45,56,64,7971
20,176,64,7971
50,20,65,8101
42,25,65,8101
7,141,65,8101
23,44,66,8239
3,54,66,8239
47,95,66,8239
5,155,67,8380
46,19,69,8502
38,64,69,8502
50,126,69,8502
12,200,69,8502
4,231,69,8502
43,22,70,8682
18,109,70,8682
2,143,70,8682
14,223,71,8944
6,9,72,9064
15,85,72,9064
17,125,72,9064
47,157,72,9064
27,238,72,9064
33,241,72,9064
5,170,73,9106
44,179,73,9106
47,214,73,9106
42,71,74,9399
4,73,74,9399
17,99,75,9462
38,76,76,9712
37,163,76,9712
18,181,76,9712
1,175,77,9746
15,191,77,9746
4,13,78,9818
21,132,78,9818
12,21,79,9951
48,52,79,9951
40,105,79,9951
21,186,79,9951
30,220,79,9951
24,58,80,10048
45,188,80,10048
20,180,81,10242
23,139,82,10358
2,158,82,10358
36,168,82,10358
16,169,82,10358
17,7,83,10619
33,11,83,10619
21,154,83,10619
20,174,83,10619
47,221,83,10619
31,225,83,10619
27,164,84,10765
29,196,84,10765
1,50,86,10848
41,59,86,10848
27,40,87,10932
41,193,87,10932
41,250,87,10932
18,81,88,11139
18,119,89,11404
15,227,89,11404
9,145,90,11404
8,239,90,11404
13,15,91,11646
16,96,91,11646
34,37,92,11807
47,48,92,11807
12,104,92,11807
12,243,92,11807
18,210,93,11825
7,212,93,11825
40,229,93,11825
44,153,95,12025
33,5,96,12078
31,17,96,12078
36,39,96,12078
15,43,96,12078
17,121,96,12078
44,23,97,12346
44,80,97,12346
27,160,97,12346
20,233,97,12346
23,8,98,12373
12,88,98,12373
29,120,98,12373
41,133,98,12373
10,61,99,12495
21,82,99,12495
42,137,99,12495
7,172,99,12495
37,62,100,12742